Func,runtime
findPointsRtree , 0.00059
insertPoints , 0.78561
findPointsRtree , 0.0006
insertPoints , 0.84333
findPointsRtree , 0.00167
insertPoints , 0.85857
findPointsRtree , 0.0007
insertPoints , 0.83219
findPointsRtree , 0.00071
insertPoints , 0.84566
findPointsRtree , 0.00072
insertPoints , 0.75489
findPointsRtree , 0.00065
insertPoints , 0.74123
findPointsRtree , 0.00086
insertPoints , 0.69777
findPointsRtree , 0.00144
insertPoints , 0.72677
findPointsRtree , 0.00172
insertPoints , 0.68226
findPointsRtree , 0.00058
insertPoints , 0.65734
findPointsRtree , 0.0014
insertPoints , 0.6632
findPointsRtree , 0.00082
insertPoints , 0.58603
findPointsRtree , 0.00062
insertPoints , 0.56187
findPointsRtree , 0.00053
insertPoints , 0.58079
findPointsRtree , 0.00059
insertPoints , 0.5759
findPointsRtree , 0.00107
insertPoints , 0.63664
findPointsRtree , 0.00109
insertPoints , 0.72901
findPointsRtree , 0.00061
insertPoints , 0.71734
findPointsRtree , 0.0007
insertPoints , 0.71039
findPointsRtree , 0.00136
insertPoints , 0.69358
findPointsRtree , 0.00059
insertPoints , 0.73611
findPointsRtree , 0.00069
insertPoints , 0.59543
findPointsRtree , 0.00124
insertPoints , 0.62811
findPointsRtree , 0.00073
insertPoints , 0.7482
findPointsRtree , 0.00108
insertPoints , 0.60251
findPointsRtree , 0.00053
insertPoints , 0.59242
findPointsRtree , 0.00059
insertPoints , 0.60759
findPointsRtree , 0.00098
insertPoints , 0.56407
findPointsRtree , 0.00053
insertPoints , 0.60455
findPointsRtree , 0.0006
insertPoints , 0.65718
findPointsRtree , 0.00101
insertPoints , 0.80668
findPointsRtree , 0.00072
insertPoints , 0.85803
findPointsRtree , 0.00088
insertPoints , 0.68191
findPointsRtree , 0.00062
insertPoints , 0.72006
findPointsRtree , 0.0014
insertPoints , 0.72526
findPointsRtree , 0.00069
insertPoints , 0.83937
findPointsRtree , 0.00066
insertPoints , 0.69263
findPointsRtree , 0.00072
insertPoints , 1.00962
findPointsRtree , 0.00063
insertPoints , 0.64476
findPointsRtree , 0.00052
insertPoints , 0.70481
findPointsRtree , 0.0006
insertPoints , 0.70558
findPointsRtree , 0.0006
insertPoints , 0.59055
findPointsRtree , 0.00061
insertPoints , 0.73796
findPointsRtree , 0.00077
insertPoints , 0.73864
findPointsRtree , 0.00062
insertPoints , 0.68815
findPointsRtree , 0.00083
insertPoints , 0.72606
findPointsRtree , 0.00058
insertPoints , 0.70327
findPointsRtree , 0.0006
insertPoints , 0.66524
findPointsRtree , 0.00068
insertPoints , 0.72005
findPointsRtree , 0.00069
insertPoints , 0.8717
findPointsRtree , 0.00065
insertPoints , 0.7657
findPointsRtree , 0.0013
insertPoints , 0.7039
findPointsRtree , 0.0007
insertPoints , 0.64013
findPointsRtree , 0.00063
