Func,runtime
findPoints , 0.05346
insertPoints , 1.49509
findPoints , 0.05432
insertPoints , 1.46751
findPoints , 0.05351
insertPoints , 1.48438
findPoints , 0.05426
insertPoints , 1.52728
findPoints , 0.05347
insertPoints , 1.413
findPoints , 0.05376
insertPoints , 1.46574
findPoints , 0.05414
insertPoints , 1.50036
findPoints , 0.05347
insertPoints , 1.49696
findPoints , 0.05483
insertPoints , 1.43534
findPoints , 0.05426
insertPoints , 1.38775
findPoints , 0.05365
insertPoints , 1.5328
findPoints , 0.05393
insertPoints , 1.44262
findPoints , 0.0534
insertPoints , 1.40865
findPoints , 0.05583
insertPoints , 1.44
findPoints , 0.05352
insertPoints , 1.40133
findPoints , 0.05353
insertPoints , 1.42245
findPoints , 0.05381
insertPoints , 1.48714
findPoints , 0.05379
insertPoints , 1.47305
findPoints , 0.05399
insertPoints , 1.39866
findPoints , 0.05354
insertPoints , 1.41159
findPoints , 0.05481
insertPoints , 1.48495
findPoints , 0.05347
insertPoints , 1.4143
findPoints , 0.05326
insertPoints , 1.43115
findPoints , 0.05542
insertPoints , 1.42063
findPoints , 0.05382
insertPoints , 1.37494
findPoints , 0.05447
insertPoints , 1.38601
findPoints , 0.05322
insertPoints , 1.63096
findPoints , 0.05411
insertPoints , 1.4571
findPoints , 0.05341
insertPoints , 1.35238
findPoints , 0.05339
insertPoints , 1.35944
findPoints , 0.05393
insertPoints , 1.43601
findPoints , 0.05335
insertPoints , 1.45797
findPoints , 0.05441
insertPoints , 1.38644
findPoints , 0.05383
insertPoints , 1.4147
findPoints , 0.0535
insertPoints , 1.42997
findPoints , 0.05396
insertPoints , 1.42874
findPoints , 0.05332
insertPoints , 1.41095
findPoints , 0.05517
insertPoints , 1.41838
findPoints , 0.05384
insertPoints , 1.3539
findPoints , 0.05342
insertPoints , 1.40795
findPoints , 0.05339
insertPoints , 1.33775
findPoints , 0.05363
insertPoints , 1.43873
findPoints , 0.05417
insertPoints , 1.38039
findPoints , 0.05645
insertPoints , 1.50741
findPoints , 0.05721
insertPoints , 1.40382
findPoints , 0.05351
insertPoints , 1.41772
findPoints , 0.05473
insertPoints , 1.36946
findPoints , 0.05387
insertPoints , 1.43815
findPoints , 0.05351
insertPoints , 1.46917
findPoints , 0.05441
insertPoints , 1.41107
findPoints , 0.05333
insertPoints , 1.41822
findPoints , 0.05403
insertPoints , 1.42892
findPoints , 0.05357
insertPoints , 1.37131
findPoints , 0.05355
insertPoints , 1.39683
findPoints , 0.05399
insertPoints , 1.4111
findPoints , 0.05409
insertPoints , 1.45213
findPoints , 0.05479
insertPoints , 1.42532
findPoints , 0.05351
insertPoints , 1.34142
findPoints , 0.05327
insertPoints , 1.42938
findPoints , 0.05419
insertPoints , 1.41974
findPoints , 0.05348
insertPoints , 1.41217
findPoints , 0.05432
insertPoints , 1.33495
findPoints , 0.05347
insertPoints , 1.41193
findPoints , 0.0548
insertPoints , 1.44469
findPoints , 0.05425
insertPoints , 1.43467
findPoints , 0.05478
insertPoints , 1.42197
findPoints , 0.0487
insertPoints , 1.44906
findPoints , 0.05472
insertPoints , 1.416
findPoints , 0.05466
insertPoints , 1.34969
findPoints , 0.05192
insertPoints , 1.42108
findPoints , 0.05345
insertPoints , 1.46371
findPoints , 0.05694
insertPoints , 1.43078
findPoints , 0.05359
insertPoints , 1.41001
findPoints , 0.05442
insertPoints , 1.42842
findPoints , 0.05321
insertPoints , 1.39439
findPoints , 0.05349
insertPoints , 1.33412
findPoints , 0.05358
insertPoints , 1.43379
findPoints , 0.0538
insertPoints , 1.39338
findPoints , 0.05401
insertPoints , 1.34016
findPoints , 0.05342
insertPoints , 1.41583
findPoints , 0.05545
insertPoints , 1.33236
findPoints , 0.05351
insertPoints , 1.39866
findPoints , 0.05381
insertPoints , 1.42748
findPoints , 0.05372
insertPoints , 1.46397
findPoints , 0.05336
insertPoints , 1.41673
findPoints , 0.05446
insertPoints , 1.4591
findPoints , 0.05336
insertPoints , 1.42464
findPoints , 0.05433
insertPoints , 1.42412
findPoints , 0.05466
insertPoints , 1.42696
findPoints , 0.05343
insertPoints , 1.4098
findPoints , 0.05455
insertPoints , 1.42191
findPoints , 0.05352
insertPoints , 1.40864
findPoints , 0.05531
insertPoints , 1.428
findPoints , 0.05359
insertPoints , 1.4334
findPoints , 0.05438
insertPoints , 1.3649
findPoints , 0.05384
insertPoints , 1.3919
findPoints , 0.05347
insertPoints , 1.36977
findPoints , 0.05478
insertPoints , 1.33641
findPoints , 0.05349
insertPoints , 1.39557
findPoints , 0.05368
insertPoints , 1.44635
findPoints , 0.05334
insertPoints , 1.44793
findPoints , 0.05355
insertPoints , 1.39672
findPoints , 0.05401
insertPoints , 1.42433
findPoints , 0.0535
insertPoints , 1.40164
findPoints , 0.05812
insertPoints , 1.43319
findPoints , 0.05439
insertPoints , 1.34363
findPoints , 0.05335
insertPoints , 1.34242
findPoints , 0.05382
insertPoints , 1.45325
findPoints , 0.05336
insertPoints , 1.33553
findPoints , 0.93769
insertPoints , 1.5419
findPoints , 0.05344
insertPoints , 1.43472
findPoints , 0.05366
insertPoints , 1.38762
findPoints , 0.05404
insertPoints , 1.40114
findPoints , 0.05374
insertPoints , 1.34032
findPoints , 0.05463
insertPoints , 1.32465
findPoints , 0.05392
insertPoints , 1.41927
findPoints , 0.05343
insertPoints , 1.38573
findPoints , 0.0548
insertPoints , 1.43334
findPoints , 0.05352
insertPoints , 1.44236
findPoints , 0.05567
insertPoints , 1.42754
findPoints , 0.05368
insertPoints , 1.38791
findPoints , 0.05504
insertPoints , 1.4505
findPoints , 0.05474
insertPoints , 1.37161
findPoints , 0.05386
insertPoints , 1.41795
findPoints , 0.05464
insertPoints , 1.47216
findPoints , 0.05417
insertPoints , 1.41091
findPoints , 0.05424
insertPoints , 1.37179
findPoints , 0.05359
insertPoints , 1.43683
findPoints , 0.05365
insertPoints , 1.32897
findPoints , 0.05353
insertPoints , 1.41431
findPoints , 0.05384
insertPoints , 1.35006
findPoints , 0.05396
insertPoints , 1.36665
findPoints , 0.05312
insertPoints , 1.38849
findPoints , 0.05526
insertPoints , 1.32588
findPoints , 0.05358
insertPoints , 1.38068
findPoints , 0.05353
insertPoints , 1.34748
findPoints , 0.04893
insertPoints , 1.38058
findPoints , 0.05355
insertPoints , 1.32839
findPoints , 0.05438
insertPoints , 1.4564
findPoints , 0.05337
insertPoints , 1.39421
findPoints , 0.05348
insertPoints , 1.3871
findPoints , 0.05373
insertPoints , 1.39894
findPoints , 0.05431
insertPoints , 1.36013
findPoints , 0.05529
insertPoints , 1.41438
findPoints , 0.05353
insertPoints , 1.41822
findPoints , 0.05473
insertPoints , 1.33699
findPoints , 0.05345
insertPoints , 1.41893
findPoints , 0.05465
insertPoints , 1.37733
findPoints , 0.05456
insertPoints , 1.39108
findPoints , 0.04916
insertPoints , 1.48437
findPoints , 0.05722
insertPoints , 1.35309
findPoints , 0.05344
insertPoints , 1.39809
findPoints , 0.05408
insertPoints , 1.40267
findPoints , 0.05536
insertPoints , 1.41697
findPoints , 0.05357
insertPoints , 1.33561
findPoints , 0.0539
insertPoints , 1.41214
findPoints , 0.05303
insertPoints , 1.41843
findPoints , 0.05477
insertPoints , 1.40965
findPoints , 0.05473
insertPoints , 1.35058
findPoints , 0.05344
insertPoints , 1.42792
findPoints , 0.05388
insertPoints , 1.40441
findPoints , 0.05333
insertPoints , 1.37996
findPoints , 0.05447
insertPoints , 1.40307
findPoints , 0.04885
insertPoints , 1.3206
findPoints , 0.05338
insertPoints , 1.40032
findPoints , 0.05349
insertPoints , 1.3334
findPoints , 0.0538
insertPoints , 1.40725
findPoints , 0.05402
insertPoints , 1.34797
findPoints , 0.05344
insertPoints , 1.3989
findPoints , 0.05484
insertPoints , 1.36256
findPoints , 0.05366
insertPoints , 1.42261
findPoints , 0.05368
insertPoints , 1.37496
findPoints , 0.05593
insertPoints , 1.37228
findPoints , 0.05536
insertPoints , 1.35742
findPoints , 0.05462
insertPoints , 1.39949
findPoints , 0.05344
insertPoints , 1.42364
findPoints , 0.0563
insertPoints , 1.40329
findPoints , 0.05411
insertPoints , 1.35319
findPoints , 0.05373
insertPoints , 1.40371
findPoints , 0.05403
insertPoints , 1.40541
findPoints , 0.05343
insertPoints , 1.43594
findPoints , 0.05515
insertPoints , 1.39435
findPoints , 0.05366
insertPoints , 1.33385
findPoints , 0.05535
insertPoints , 1.41549
findPoints , 0.0543
insertPoints , 1.39055
findPoints , 0.05645
insertPoints , 1.35813
findPoints , 0.0544
insertPoints , 1.34545
findPoints , 0.05384
insertPoints , 1.36214
findPoints , 0.05348
insertPoints , 1.38561
findPoints , 0.05353
insertPoints , 1.32907
findPoints , 0.05365
insertPoints , 1.38062
findPoints , 0.05192
insertPoints , 1.38565
findPoints , 0.05499
insertPoints , 1.33766
findPoints , 0.05483
insertPoints , 1.39106
findPoints , 0.05343
insertPoints , 1.34137
findPoints , 0.05335
insertPoints , 1.38756
findPoints , 0.0547
insertPoints , 1.39466
findPoints , 0.0534
insertPoints , 1.37739
findPoints , 0.0495
insertPoints , 1.40955
findPoints , 0.054
insertPoints , 1.35949
findPoints , 0.05339
insertPoints , 1.37031
findPoints , 0.05636
insertPoints , 1.46046
findPoints , 0.05354
insertPoints , 1.39296
findPoints , 0.05448
insertPoints , 1.40617
findPoints , 0.0535
insertPoints , 1.41586
findPoints , 0.0554
insertPoints , 1.38753
findPoints , 0.05353
insertPoints , 1.33776
findPoints , 0.0534
insertPoints , 1.40286
findPoints , 0.05442
insertPoints , 1.41145
findPoints , 0.05371
insertPoints , 1.37949
findPoints , 0.05462
insertPoints , 1.41116
findPoints , 0.05654
insertPoints , 1.40272
findPoints , 0.05377
insertPoints , 1.33143
findPoints , 0.0535
insertPoints , 1.47529
findPoints , 0.05359
insertPoints , 1.4002
findPoints , 0.05418
insertPoints , 1.36416
findPoints , 0.05352
insertPoints , 1.37995
findPoints , 0.0547
insertPoints , 1.37544
findPoints , 0.05594
insertPoints , 1.44378
findPoints , 0.05362
insertPoints , 1.35961
findPoints , 0.05393
insertPoints , 1.41505
findPoints , 0.05345
insertPoints , 1.40231
findPoints , 0.05456
insertPoints , 1.35291
findPoints , 0.0536
insertPoints , 1.40162
findPoints , 0.05495
insertPoints , 1.41908
findPoints , 0.05335
insertPoints , 1.35314
findPoints , 0.05354
insertPoints , 1.38419
findPoints , 0.05633
insertPoints , 1.33833
findPoints , 0.05339
insertPoints , 1.42915
findPoints , 0.05672
insertPoints , 1.41287
findPoints , 0.05718
insertPoints , 1.60993
findPoints , 0.0549
insertPoints , 1.33883
findPoints , 0.0538
insertPoints , 1.42073
findPoints , 0.0535
insertPoints , 1.4225
findPoints , 0.05462
insertPoints , 1.41953
findPoints , 0.05349
insertPoints , 1.31598
findPoints , 0.05416
insertPoints , 1.39691
findPoints , 0.05349
insertPoints , 1.3247
findPoints , 0.05342
insertPoints , 1.35506
findPoints , 0.05411
insertPoints , 1.45652
findPoints , 0.05349
insertPoints , 1.36836
findPoints , 0.05535
insertPoints , 1.39806
findPoints , 0.05351
insertPoints , 1.37869
findPoints , 0.05377
insertPoints , 1.4069
findPoints , 0.05704
insertPoints , 1.34344
findPoints , 0.05347
insertPoints , 1.3754
findPoints , 0.05441
insertPoints , 1.47742
findPoints , 0.05506
insertPoints , 1.33945
findPoints , 0.05368
insertPoints , 1.39628
findPoints , 0.05379
insertPoints , 1.3836
findPoints , 0.05423
insertPoints , 1.39417
findPoints , 0.0543
insertPoints , 1.39955
findPoints , 0.05365
insertPoints , 1.32961
findPoints , 0.05512
insertPoints , 1.33079
findPoints , 0.05368
insertPoints , 1.3543
findPoints , 0.05341
insertPoints , 1.34595
findPoints , 0.05405
insertPoints , 1.34302
findPoints , 0.05632
insertPoints , 1.4243
findPoints , 0.05474
insertPoints , 1.31197
findPoints , 0.05358
insertPoints , 1.37348
findPoints , 0.05343
insertPoints , 1.4288
findPoints , 0.05358
insertPoints , 1.3568
findPoints , 0.05348
insertPoints , 1.35848
findPoints , 0.05508
insertPoints , 1.32858
findPoints , 0.05412
insertPoints , 1.38785
findPoints , 0.0546
insertPoints , 1.38348
findPoints , 0.05394
insertPoints , 1.4422
findPoints , 0.05546
insertPoints , 1.40557
findPoints , 0.05388
insertPoints , 1.42345
findPoints , 0.05349
insertPoints , 1.4197
findPoints , 0.05584
